Position,Model,Prompt,Accuracy,Approximate Accuracy
1,B) Fine-tuning Adaptado,Prompt 2,0.8717948717948718,0.935897435897436
2,B) Fine-tuning,Prompt 2,0.8461538461538461,0.9230769230769232
3,B) Fine-tuning Adaptado,Prompt 3,0.8461538461538461,0.9230769230769232
4,B) Fine-tuning,Prompt 0,0.8461538461538461,0.9230769230769232
5,B) Fine-tuning,Prompt 1,0.8205128205128205,0.9102564102564102
6,B) Fine-tuning,Prompt 3,0.8205128205128205,0.9102564102564102
7,B) Fine-tuning Adaptado,Prompt 0,0.8461538461538461,0.9102564102564102
8,B) Fine-tuning Adaptado,Prompt 5,0.8205128205128205,0.8974358974358975
9,B) Fine-tuning Adaptado,Prompt 8,0.8205128205128205,0.8974358974358975
10,B) Fine-tuning Adaptado,Prompt 7,0.8205128205128205,0.8974358974358975
11,B) Fine-tuning Adaptado,Prompt 1,0.8205128205128205,0.8974358974358975
12,B) Fine-tuning,Prompt 5,0.7948717948717948,0.8974358974358975
13,B) Fine-tuning Adaptado,Prompt 4,0.7948717948717948,0.8974358974358975
14,B) Fine-tuning,Prompt 8,0.7948717948717948,0.8846153846153846
15,B) Fine-tuning Adaptado,Prompt 21,0.7692307692307693,0.8846153846153846
16,B) Fine-tuning Adaptado,Prompt 6,0.7692307692307693,0.8717948717948718
17,B) Fine-tuning Adaptado,Prompt 15,0.7692307692307693,0.8717948717948718
18,B) Fine-tuning,Prompt 13,0.7435897435897436,0.8717948717948718
19,B) Fine-tuning,Prompt 15,0.7435897435897436,0.8717948717948718
20,B) Fine-tuning Adaptado,Prompt 16,0.7692307692307693,0.8717948717948718
21,B) Fine-tuning,Prompt 21,0.717948717948718,0.8589743589743589
22,B) Fine-tuning Adaptado,Prompt 11,0.7692307692307693,0.8589743589743589
23,B) Fine-tuning,Prompt 10,0.717948717948718,0.8589743589743589
24,B) Fine-tuning Adaptado,Prompt 18,0.7692307692307693,0.8589743589743589
25,B) Fine-tuning Adaptado,Prompt 19,0.7435897435897436,0.8589743589743589
26,B) Fine-tuning,Prompt 9,0.717948717948718,0.8589743589743589
27,B) Fine-tuning Adaptado,Prompt 12,0.7692307692307693,0.8589743589743589
28,B) Fine-tuning Adaptado,Prompt 23,0.7435897435897436,0.8589743589743589
29,B) Fine-tuning,Prompt 7,0.7692307692307693,0.8589743589743589
30,B) Fine-tuning Adaptado,Prompt 13,0.7435897435897436,0.8589743589743589
31,B) Fine-tuning,Prompt 4,0.7435897435897436,0.8589743589743589
32,B) Fine-tuning Adaptado,Prompt 9,0.717948717948718,0.8461538461538461
33,B) Fine-tuning,Prompt 19,0.717948717948718,0.8461538461538461
34,B) Fine-tuning,Prompt 18,0.717948717948718,0.8461538461538461
35,B) Fine-tuning,Prompt 11,0.717948717948718,0.8461538461538461
36,B) Fine-tuning,Prompt 23,0.717948717948718,0.8461538461538461
37,B) Fine-tuning Adaptado,Prompt 17,0.7435897435897436,0.8461538461538461
38,B) Fine-tuning Adaptado,Prompt 10,0.7435897435897436,0.8461538461538461
39,B) Fine-tuning,Prompt 12,0.717948717948718,0.8461538461538461
40,B) Fine-tuning,Prompt 17,0.717948717948718,0.8461538461538461
41,B) Fine-tuning,Prompt 20,0.717948717948718,0.8333333333333334
42,B) Fine-tuning,Prompt 6,0.7435897435897436,0.8333333333333334
43,B) Fine-tuning,Prompt 16,0.717948717948718,0.8333333333333334
44,B) Fine-tuning,Prompt 22,0.6923076923076923,0.8333333333333334
45,B) Fine-tuning Adaptado,Prompt 20,0.717948717948718,0.8333333333333334
46,B) Fine-tuning Adaptado,Without Prompt,0.6923076923076923,0.8205128205128205
47,B) Fine-tuning,Prompt 14,0.6923076923076923,0.8205128205128205
48,B) Fine-tuning Adaptado,Prompt 14,0.6923076923076923,0.8205128205128205
49,B) Fine-tuning Adaptado,Prompt 22,0.6410256410256411,0.8076923076923077
50,C) DeepSeek,Prompt 18,0.5128205128205128,0.717948717948718
51,C) Chat GPT,Prompt 17,0.4358974358974359,0.6794871794871795
52,C) Chat GPT,Prompt 18,0.4358974358974359,0.6794871794871795
53,C) DeepSeek,Prompt 17,0.4358974358974359,0.6666666666666666
54,C) Chat GPT,Prompt 15,0.4102564102564102,0.6538461538461539
55,D) Cathoven,Can't Prompt,0.4358974358974359,0.6538461538461539
56,C) Chat GPT,Prompt 16,0.4102564102564102,0.6538461538461539
57,A) Llama 3.1 8B,Prompt 15,0.4615384615384615,0.6410256410256411
58,A) Llama 3.1 8B,Prompt 20,0.4358974358974359,0.6410256410256411
59,D) Text Inspector,Can't Prompt,0.4358974358974359,0.6282051282051282
60,A) Llama 3.1 8B,Prompt 16,0.4615384615384615,0.6282051282051282
61,A) Llama 3.2 11B,Prompt 16,0.4358974358974359,0.6282051282051282
62,A) Llama 3.2 11B,Prompt 15,0.4102564102564102,0.6282051282051282
63,A) Llama 3.2 11B,Prompt 20,0.4102564102564102,0.6282051282051282
64,A) Mistral 12B,Prompt 18,0.4871794871794871,0.6153846153846154
65,A) Llama 3.1 8B,Prompt 18,0.4102564102564102,0.6153846153846154
66,A) Mistral 12B,Prompt 3,0.4358974358974359,0.6025641025641025
67,A) Mistral 12B,Prompt 2,0.4358974358974359,0.6025641025641025
68,A) Llama 3.1 8B,Prompt 17,0.3846153846153846,0.6025641025641025
69,A) Llama 3.2 11B,Prompt 17,0.4102564102564102,0.6025641025641025
70,C) DeepSeek,Prompt 16,0.3846153846153846,0.6025641025641025
71,A) Mistral 12B,Prompt 11,0.4615384615384615,0.5897435897435898
72,A) Gemma 2 9B,Prompt 11,0.4102564102564102,0.5897435897435898
73,A) Mistral 12B,Prompt 12,0.4358974358974359,0.5897435897435898
74,A) Gemma 2 9B,Prompt 17,0.3846153846153846,0.5897435897435898
75,A) Llama 3.1 8B,Prompt 12,0.358974358974359,0.5769230769230769
76,A) Mistral 12B,Prompt 10,0.3846153846153846,0.5769230769230769
77,A) Llama 3.2 3B,Prompt 10,0.4615384615384615,0.5769230769230769
78,A) Llama 3.1 8B,Prompt 19,0.3333333333333333,0.5769230769230769
79,A) Mistral 12B,Prompt 9,0.3846153846153846,0.5641025641025641
80,A) Gemma 2 9B,Prompt 15,0.358974358974359,0.5641025641025641
81,A) Llama 3.1 8B,Prompt 10,0.3846153846153846,0.5641025641025641
82,A) Mistral 12B,Prompt 22,0.3846153846153846,0.5641025641025641
83,A) Mistral 12B,Prompt 17,0.4358974358974359,0.5641025641025641
84,A) Mistral 12B,Prompt 21,0.358974358974359,0.5512820512820513
85,A) Mistral 12B,Prompt 14,0.3333333333333333,0.5512820512820513
86,A) Llama 3.2 3B,Prompt 9,0.4358974358974359,0.5512820512820513
87,A) Llama 3.2 11B,Prompt 18,0.3333333333333333,0.5384615384615384
88,A) Mistral 8B,Prompt 1,0.3333333333333333,0.5384615384615384
89,A) Mistral 12B,Prompt 4,0.3076923076923077,0.5384615384615384
90,A) Mistral 12B,Prompt 16,0.3846153846153846,0.5384615384615384
91,A) Mistral 12B,Prompt 13,0.3333333333333333,0.5384615384615384
92,A) Llama 3.1 8B,Prompt 9,0.3333333333333333,0.5384615384615384
93,A) Llama 3.1 8B,Prompt 7,0.2564102564102564,0.5384615384615384
94,A) Llama 3.1 8B,Prompt 23,0.282051282051282,0.5384615384615384
95,A) Llama 3.2 11B,Prompt 23,0.358974358974359,0.5384615384615384
96,A) Gemma 2 9B,Prompt 12,0.3333333333333333,0.5384615384615384
97,A) Gemma 2 9B,Prompt 10,0.3333333333333333,0.5384615384615384
98,A) Llama 3.2 11B,Prompt 14,0.3333333333333333,0.5384615384615384
99,A) Gemma 2 9B,Prompt 18,0.3333333333333333,0.5384615384615384
100,A) Llama 3.2 11B,Prompt 19,0.282051282051282,0.5256410256410257
